category,count
unknown,3406
Trending Open-Source,1350
Developer Tools,941
Machine Learning,743
DevOps/K8s,621
Frontend (React/Web),471
Cybersecurity,406
Mobile Dev (iOS/Flutter),365
Blockchain,298
Cloud APIs,244
AI Research,204
Python Data Eng,113
GameDev (C++),49
B2B SaaS,29
Embedded Systems (C/RTOS),9
Beginner Coding,2
