id,source,title,text,url,score,num_comments,created_utc,domain,domain_category,topic_category,title_length,age_days,engagement_score,snapshot_utc,opportunity_id,retrieval_rank,retrieval_distance,similarity
42323854,hackernews,Show HN: Engineering Metrics Powered by AI,"Show HN: Wellcode CLI - Open-source engineering metrics powered by AI<p>I built Wellcode CLI after getting frustrated with expensive engineering metrics tools that cost thousands per month but weren&#x27;t actually helpful as a new engineering manager. The existing tools gave me lots of fancy graphs, but didn&#x27;t help answer basic questions like &quot;is my team stuck on anything?&quot; or &quot;who might need more support?&quot;<p>The tool does three main things:
1. Aggregates metrics from GitHub (PR velocity, code review times, etc), Linear (issue progress, cycle time), and Split.io (feature flag adoption)
2. Provides a natural language interface so you can ask questions like &quot;how was the frontend team performing last week?&quot; or &quot;show me who needs code review help&quot;
3. Uses Claude (optional integration) to analyze trends and suggest actionable improvements for new managers<p>What makes this different:
- Completely free and open source - no more paying thousands for metrics you don&#x27;t need
- Works entirely from your terminal - no web dashboards or account creation needed
- Natural language interface that focuses on actionable insights for managers
- Integrates metrics across tools rather than looking at each in isolation
- Local-first - all data processing happens on your machine<p>You can try it out in 2 minutes.<p>The minimum requirement is just GitHub access - the Linear, Split.io and Anthropic integrations are optional.<p>Source code: <a href=""https:&#x2F;&#x2F;github.com&#x2F;wellcode-ai&#x2F;wellcode-cli"">https:&#x2F;&#x2F;github.com&#x2F;wellcode-ai&#x2F;wellcode-cli</a><p>Happy to answer any questions! While I&#x27;ve built several internal metrics tools before, this is my first open source project, so feedback is very welcome.",https://news.ycombinator.com/item?id=42323854,2,0,2024-12-05T01:21:53Z,cli.wellcode.ai,other,Trending Open-Source,42,546,2.0,2026-06-04T23:11:05Z,hackernews::42323854,16,0.9588879346847534,0.5104937256969381
42930341,hackernews,Analysing Open-Source Packages Sustainability Using Machine Learning,,https://news.ycombinator.com/item?id=42930341,1,1,2025-02-04T09:47:22Z,crestdata.ai,other,Machine Learning,68,485,3.0,2026-06-04T23:11:05Z,hackernews::42930341,17,0.9606820344924927,0.5100266042162427
42821532,hackernews,Show HN: OSS AI assistant for answering questions from Docs and GitHub Issues,"I’ve been working on Ragpi, an open-source AI assistant that builds knowledge bases from docs, GitHub Issues, and READMEs. It uses Redis Stack as a vector DB and leverages RAG to answer technical questions through an API.<p>Some things it does:<p>- Creates knowledge bases from documentation websites, GitHub Issues, and READMEs<p>- Uses hybrid search (semantic + keyword) for retrieval<p>- Uses tool calling to dynamically search and retrieve relevant information during conversations - Works with OpenAI or Ollama<p>- Provides a simple REST API for querying and managing sources<p>Built with: FastAPI, Redis Stack, and Celery.<p>It’s still a work in progress, but I’d love some feedback!<p>Repo: <a href=""https:&#x2F;&#x2F;github.com&#x2F;ragpi&#x2F;ragpi"">https:&#x2F;&#x2F;github.com&#x2F;ragpi&#x2F;ragpi</a><p>API Reference: <a href=""https:&#x2F;&#x2F;docs.ragpi.io"" rel=""nofollow"">https:&#x2F;&#x2F;docs.ragpi.io</a>",https://news.ycombinator.com/item?id=42821532,3,0,2025-01-25T13:31:53Z,github.com,developer_tools,Trending Open-Source,77,495,3.0,2026-06-04T23:11:05Z,hackernews::42821532,18,0.965869665145874,0.50868072168243
48036792,hackernews,Feedback on open source AI agent builder,I create a fully open source ai agent builder with lots of nodes and templates. Need your input&#x2F;feedback on this. https:&#x2F;&#x2F;github.com&#x2F;pandastack-io&#x2F;pandaflow,https://news.ycombinator.com/item?id=48036792,1,0,2026-05-06T14:36:28Z,,unknown,Trending Open-Source,40,29,1.0,2026-06-04T23:11:05Z,hackernews::48036792,19,0.9672999382019043,0.5083108989033933
43035399,hackernews,Show HN: Hardware-Friendly Text Classification with Model2Vec,"Hi HN,<p>We’ve just released finetuning in Model2Vec, a feature we have been working on for a long time. Model2Vec is a library for making state-of-the-art static word embedders by distilling sentence transformers.<p>Finetuning allows you to train lightweight text classifiers directly on top of Model2Vec models, creating very fast and performant models in a couple of lines of code.<p>Main features:<p>- Better Performance: Improves classification accuracy across diverse NLP tasks.<p>- Fast Training: Train in minutes, not hours, on a CPU.<p>- Fast inference: Make classifiers that can actually run in production on budget hardware<p>- Lightweight Deployment: Save and load models as scikit-learn pipelines—no Torch needed for inference.<p>We’ve benchmarked this on a large number of datasets, the results can be found in the results section of the repo. We are curious to hear your feedback and whether there are any other features you’d like to see!<p>Our benchmark results are documented here: <a href=""https:&#x2F;&#x2F;github.com&#x2F;MinishLab&#x2F;model2vec&#x2F;tree&#x2F;main&#x2F;results#training-results"">https:&#x2F;&#x2F;github.com&#x2F;MinishLab&#x2F;model2vec&#x2F;tree&#x2F;main&#x2F;results#tra...</a>",https://news.ycombinator.com/item?id=43035399,3,0,2025-02-13T12:59:34Z,github.com,developer_tools,Machine Learning,61,476,3.0,2026-06-04T23:11:05Z,hackernews::43035399,20,0.9704958200454712,0.5074864863082653
47114181,hackernews,Ask HN: Share your workflow with AI developer tools,"I mainly use Cursor:<p>* Big fan of the Plan, Debug and Review<p>* Often use parallel agents for ideation and getting multiple perspectives<p>* Should probably use sub agents<p>* Models: Opus 4.6 Max for the most important tasks, Sonnet 4.6 or Gemini 3.1 Pro for the rest.<p>* Great MCPs: Sentry, Chrome DevTools, Context7, DeepWiki, Exa<p>Would love to hear if I&#x27;m missing some great opportunities.",https://news.ycombinator.com/item?id=47114181,2,0,2026-02-22T20:09:48Z,,unknown,Developer Tools,51,102,2.0,2026-06-04T23:11:05Z,hackernews::47114181,21,0.9743471145629883,0.5064965489725168
46706156,hackernews,Ask HN: What are good resources to get familiar with AI code editors?,"I’ve been using GitHub Copilot’s free version for inline suggestions and occasional tasks at work. I’ve also heard a lot of hype around tools like Cursor, Claude Code, and OpenAI Codex, but I haven’t had time to dive into them yet.<p>Now that I have some free time, I’m looking for high-quality resources that:<p>1. Give a good overview of the current AI code editor landscape<p>2. Explain tool-specific features (e.g., recent features like skills, etc.)<p>3. Provide tactical tips for using these tools effectively in real development workflows<p>Blog posts, videos, tutorials, beginner to advanced guides, or even personal workflow tips would all be helpful.",https://news.ycombinator.com/item?id=46706156,9,8,2026-01-21T14:25:59Z,,unknown,Trending Open-Source,69,134,25.0,2026-06-04T23:11:05Z,hackernews::46706156,22,0.9767436981201172,0.5058824778098444
42281242,hackernews,Learnings after 4 years working with 50+ companies on data engineering projects,,https://news.ycombinator.com/item?id=42281242,4,0,2024-11-30T12:39:39Z,javisantana.com,other,Python Data Eng,79,551,4.0,2026-06-04T23:11:05Z,hackernews::42281242,23,0.9781399965286255,0.5055253934275976
52497518720,github,Create branch main,"The Sentiment Analyzer is a machine learning-based web application that predicts the sentiment (Positive, Negative, or Neutral) of user input text. It uses Logistic Regression with TF-IDF vectorization for natural language processing and is powered by Flask for a simple and interactive web interface.",https://github.com/avinashshanbhag9/SENTIMENT-ANALYZER,0,0,2025-07-24T13:10:51Z,github.com,developer_tools,Machine Learning,18,315,0.0,2026-06-04T23:11:05Z,github::52497518720,24,0.9833612442016602,0.5041945852897406
48399002,hackernews,"What Bun Can Tell Us About AI, Open Source and Anthropic",,https://news.ycombinator.com/item?id=48399002,2,0,2026-06-04T14:15:39Z,redmonk.com,other,Trending Open-Source,56,0,2.0,2026-06-04T23:11:05Z,hackernews::48399002,25,0.9869362115859985,0.5032874201843586
